date,adjusted,normalized,investment_value
2019-07-02,2973.010009765625,144.44709359131437,144447.09359131436
2019-07-03,2995.820068359375,145.55534639157136,145555.34639157137
2019-07-05,2990.409912109375,145.29248775886563,145292.48775886564
2019-07-08,2975.949951171875,144.58993400896068,144589.93400896067
2019-07-09,2979.6298828125,144.76872769897753,144768.72769897754
2019-07-10,2993.070068359375,145.42173449451371,145421.73449451372
2019-07-11,2999.909912109375,145.75405613051927,145754.05613051928
2019-07-12,3013.77001953125,146.42746531090447,146427.46531090446
2019-07-15,3014.300048828125,146.4532173908505,146453.2173908505
2019-07-16,3004.0400390625,145.9547230749905,145954.7230749905
2019-07-17,2984.419921875,145.001457228476,145001.457228476
2019-07-18,2995.110107421875,145.52085212695457,145520.85212695456
2019-07-19,2976.610107421875,144.62200845583956,144622.00845583956
2019-07-22,2985.030029296875,145.03109999576532,145031.0999957653
2019-07-23,3005.469970703125,146.02419794014202,146024.197940142
2019-07-24,3019.56005859375,146.70878098478752,146708.78098478753
2019-07-25,3003.669921875,145.93674050787942,145936.7405078794
2019-07-26,3025.860107421875,147.0148760667808,147014.8760667808
2019-07-29,3020.969970703125,146.7772831781032,146777.28317810321
2019-07-30,3013.179931640625,146.39879521545097,146398.79521545098
2019-07-31,2980.3798828125,144.80516730726595,144805.16730726595
2019-08-01,2953.56005859375,143.50209545540434,143502.09545540434
2019-08-02,2932.050048828125,142.4570070152177,142457.0070152177
2019-08-05,2844.739990234375,138.21494790215442,138214.9479021544
2019-08-06,2881.77001953125,140.01409425213814,140014.09425213814
2019-08-07,2883.97998046875,140.1214677333318,140121.4677333318
2019-08-08,2938.090087890625,142.7504692251969,142750.4692251969
2019-08-09,2918.64990234375,141.80594556335313,141805.94556335313
2019-08-12,2882.699951171875,140.05927604509733,140059.27604509733
2019-08-13,2926.320068359375,142.1786093568421,142178.6093568421
2019-08-14,2840.60009765625,138.01380648361695,138013.80648361694
2019-08-15,2847.60009765625,138.3539094943091,138353.9094943091
2019-08-16,2888.679931640625,140.34982023956908,140349.8202395691
2019-08-19,2923.64990234375,142.04887628527612,142048.8762852761
2019-08-20,2900.510009765625,140.92459812343134,140924.59812343135
2019-08-21,2924.429931640625,142.08677490131828,142086.77490131828
2019-08-22,2922.949951171875,142.0148683565772,142014.8683565772
2019-08-23,2847.110107421875,138.3301027580347,138330.1027580347
2019-08-26,2878.3798828125,139.8493805800374,139849.3805800374
2019-08-27,2869.159912109375,139.40141775223367,139401.41775223368
2019-08-28,2887.93994140625,140.31386696719855,140313.86696719856
2019-08-29,2924.580078125,142.09406994008697,142094.06994008698
2019-08-30,2926.4599609375,142.18540619784122,142185.40619784122
2019-09-03,2906.27001953125,141.20445478956069,141204.4547895607
2019-09-04,2937.780029296875,142.73540467359328,142735.4046735933
2019-09-05,2976.0,144.59236568855025,144592.36568855026
2019-09-06,2978.7099609375,144.72403224193621,144724.03224193622
2019-09-09,2978.429931640625,144.71042669808634,144710.42669808635
2019-09-10,2979.389892578125,144.75706749879927,144757.06749879927
2019-09-11,3000.929931640625,145.8036149467397,145803.61494673972
2019-09-12,3009.570068359375,146.22340587685952,146223.40587685953
2019-09-13,3007.389892578125,146.11747954156792,146117.4795415679
2019-09-16,2997.9599609375,145.65931552133964,145659.31552133962
2019-09-17,3005.699951171875,146.03537180440233,146035.37180440233
2019-09-18,3006.72998046875,146.08541695654068,146085.4169565407
2019-09-19,3006.7900390625,146.08833497204813,146088.33497204812
2019-09-20,2992.070068359375,145.37314835012913,145373.14835012914
2019-09-23,2991.780029296875,145.3590564703613,145359.0564703613
2019-09-24,2966.60009765625,144.13566067607573,144135.66067607573
2019-09-25,2984.8701171875,145.0233304829304,145023.33048293038
