date,adjusted,normalized,investment_value
2020-04-06,7913.240234375,167.41185146604408,167411.85146604409
2020-04-07,7887.259765625,166.86221083255245,166862.21083255246
2020-04-08,8090.89990234375,171.17040460794047,171170.40460794047
2020-04-09,8153.580078125,172.4964611874151,172496.4611874151
2020-04-13,8192.419921875,173.3181536876116,173318.1536876116
2020-04-14,8515.740234375,180.1582912961067,180158.2912961067
2020-04-15,8393.1796875,177.5654105719876,177565.4105719876
2020-04-16,8532.3603515625,180.50990511137485,180509.90511137486
2020-04-17,8650.1396484375,183.00163410862675,183001.63410862675
2020-04-20,8560.73046875,181.11010094822512,181110.10094822512
2020-04-21,8263.23046875,174.8162157209328,174816.2157209328
2020-04-22,8495.3798828125,179.7275493938489,179727.5493938489
2020-04-23,8494.75,179.71422364551773,179714.22364551775
2020-04-24,8634.51953125,182.671176210089,182671.17621008898
2020-04-27,8730.16015625,184.69454130863187,184694.54130863186
2020-04-28,8607.73046875,182.10442903455368,182104.42903455367
2020-04-29,8914.7099609375,188.59886160921118,188598.8616092112
2020-04-30,8889.5498046875,188.06657543866245,188066.57543866246
2020-05-01,8604.9501953125,182.04560980122218,182045.6098012222
2020-05-04,8710.7099609375,184.28305459621072,184283.0545962107
2020-05-05,8809.1201171875,186.36501166726083,186365.01166726084
2020-05-06,8854.3896484375,187.3227301008098,187322.7301008098
2020-05-07,8979.66015625,189.97294253286526,189972.94253286527
2020-05-08,9121.3203125,192.96989300250493,192969.89300250492
2020-05-11,9192.33984375,194.4723762918616,194472.37629186158
2020-05-12,9002.5498046875,190.45719402919704,190457.19402919704
2020-05-13,8863.169921875,187.50848483452364,187508.48483452364
2020-05-14,8943.7197265625,189.21258979514192,189212.58979514192
2020-05-15,9014.5595703125,190.71127163071108,190711.27163071107
2020-05-18,9234.830078125,195.371296152154,195371.296152154
2020-05-19,9185.099609375,194.31920249631554,194319.20249631553
2020-05-20,9375.7802734375,198.35322674731808,198353.22674731808
2020-05-21,9284.8798828125,196.43014565249527,196430.14565249527
2020-05-22,9324.58984375,197.27024627945625,197270.24627945625
2020-05-26,9340.2197265625,197.6009107787433,197600.9107787433
2020-05-27,9412.3603515625,199.1271118341219,199127.1118341219
2020-05-28,9368.990234375,198.20957724631572,198209.57724631572
2020-05-29,9489.8701171875,200.7669019814768,200766.90198147678
2020-06-01,9552.0498046875,202.08237027254876,202082.37027254875
2020-06-02,9608.3798828125,203.27408471477787,203274.08471477788
2020-06-03,9682.91015625,204.85084097351512,204850.84097351512
2020-06-04,9615.8095703125,203.43126656486072,203431.2665648607
2020-06-05,9814.080078125,207.62586091823496,207625.86091823498
2020-06-08,9924.75,209.96718456998173,209967.18456998173
2020-06-09,9953.75,210.58070615516314,210580.70615516315
2020-06-10,10020.349609375,211.98968194537744,211989.68194537744
2020-06-11,9492.73046875,200.8274153409527,200827.41534095272
2020-06-12,9588.8095703125,202.86005681314006,202860.05681314005
2020-06-15,9726.01953125,205.76285932131447,205762.85932131446
2020-06-16,9895.8701171875,209.3562041740169,209356.20417401692
2020-06-17,9910.5302734375,209.6663532188965,209666.3532188965
2020-06-18,9943.0498046875,210.35433371413296,210354.33371413295
2020-06-19,9946.1201171875,210.41928898971923,210419.28898971924
2020-06-22,10056.48046875,212.7540633977125,212754.0633977125
2020-06-23,10131.3701171875,214.3384225640248,214338.4225640248
2020-06-24,9909.169921875,209.6375737345162,209637.5737345162
2020-06-25,10017.0,211.9188178883606,211918.8178883606
2020-06-26,9757.2197265625,206.42292805531775,206422.92805531775
2020-06-29,9874.150390625,208.89670344745372,208896.7034474537
2020-06-30,10058.76953125,212.8024906133532,212802.4906133532
2020-07-01,10154.6298828125,214.8305042287558,214830.5042287558
2020-07-02,10207.6298828125,215.95176781546667,215951.76781546668
2020-07-06,10433.650390625,220.7334388581094,220733.43885810938
2020-07-07,10343.8896484375,218.83446807073224,218834.46807073226
2020-07-08,10492.5,221.97845629366313,221978.45629366313
2020-07-09,10547.75,223.1473206930174,223147.32069301742
2020-07-10,10617.4404296875,224.6216856203916,224621.6856203916
2020-07-13,10390.83984375,219.82774249323924,219827.74249323923
2020-07-14,10488.580078125,221.89552675288598,221895.52675288598
2020-07-15,10550.490234375,223.2052928632767,223205.2928632767
2020-07-16,10473.830078125,221.58347698111265,221583.47698111265
2020-07-17,10503.1904296875,222.20462213394404,222204.62213394404
2020-07-20,10767.08984375,227.78765616305012,227787.65616305012
2020-07-21,10680.3603515625,225.952814248262,225952.814248262
2020-07-22,10706.1298828125,226.4979923055683,226497.9923055683
2020-07-23,10461.419921875,221.32092874887647,221320.92874887647
2020-07-24,10363.1796875,219.24256653086456,219242.56653086457
2020-07-27,10536.26953125,222.90444085211652,222904.44085211653
2020-07-28,10402.08984375,220.06574655645616,220065.74655645617
2020-07-29,10542.9404296875,223.0455698239772,223045.5698239772
2020-07-30,10587.8095703125,223.99481762680406,223994.81762680406
2020-07-31,10745.26953125,227.32602744876894,227326.02744876893
2020-08-03,10902.7998046875,230.65872479612898,230658.72479612898
2020-08-04,10941.169921875,231.47047980028316,231470.47980028315
2020-08-05,10998.400390625,232.68124283159963,232681.24283159964
2020-08-06,11108.0703125,235.00141056661596,235001.41056661596
2020-08-07,11010.98046875,232.947385916874,232947.385916874
2020-08-10,10968.3603515625,232.04571826661558,232045.7182666156
2020-08-11,10782.8203125,228.1204486500552,228120.44865005522
2020-08-12,11012.240234375,232.97403741353628,232974.03741353628
2020-08-13,11042.5,233.61421049538004,233614.21049538004
2020-08-14,11019.2998046875,233.12338909521992,233123.38909521993
2020-08-17,11129.73046875,235.4596510286083,235459.6510286083
2020-08-18,11210.83984375,237.17559421216262,237175.59421216263
2020-08-19,11146.4599609375,235.81357877226884,235813.57877226884
2020-08-20,11264.9501953125,238.32034830407127,238320.34830407126
2020-08-21,11311.7998046875,239.3114947388603,239311.4947388603
2020-08-24,11379.7197265625,240.74840295038265,240748.40295038265
2020-08-25,11466.4697265625,242.58367872674435,242583.67872674434
2020-08-26,11665.0595703125,246.7850289246214,246785.0289246214
2020-08-27,11625.33984375,245.9447216969111,245944.7216969111
2020-08-28,11695.6298828125,247.43177191029355,247431.77191029355
2020-08-31,11775.4599609375,249.1206503956869,249120.6503956869
2020-09-01,11939.669921875,252.594662655582,252594.662655582
2020-09-02,12056.4404296875,255.06504979542913,255065.04979542913
2020-09-03,11458.099609375,242.406601224502,242406.601224502
2020-09-04,11313.1298828125,239.33963376091768,239339.63376091767
2020-09-08,10847.6904296875,229.4928354475649,229492.8354475649
2020-09-09,11141.5595703125,235.70990651625996,235709.90651625997
2020-09-10,10919.58984375,231.01393346443527,231013.93346443528
2020-09-11,10853.5498046875,229.61679589715703,229616.79589715702
2020-09-14,11056.650390625,233.91357498114508,233913.57498114507
2020-09-15,11190.3203125,236.74148471769092,236741.4847176909
2020-09-16,11050.4697265625,233.78281736690033,233782.81736690033
2020-09-17,10910.2802734375,230.8169809701083,230816.9809701083
2020-09-18,10793.2802734375,228.34173871265216,228341.73871265215
2020-09-21,10778.7998046875,228.03539112156005,228035.39112156007
2020-09-22,10963.6396484375,231.94584746439415,231945.84746439414
2020-09-23,10632.990234375,224.95065599353424,224950.65599353425
2020-09-24,10672.26953125,225.78164552745017,225781.64552745016
2020-09-25,10913.5595703125,230.88635750173,230886.35750173
2020-09-28,11117.5302734375,235.20154471248253,235201.54471248254
2020-09-29,11085.25,234.5186259356044,234518.62593560442
2020-09-30,11167.509765625,236.2589066874287,236258.90668742868
2020-10-01,11326.509765625,239.6226974475614,239622.6974475614
2020-10-02,11075.01953125,234.30219099061648,234302.19099061648
2020-10-05,11332.490234375,239.7492197464451,239749.2197464451
2020-10-06,11154.599609375,235.9857804968273,235985.7804968273
2020-10-07,11364.599609375,240.4285230102101,240428.5230102101
2020-10-08,11420.98046875,241.6213117763357,241621.3117763357
2020-10-09,11579.9404296875,244.98425547339616,244984.25547339616
2020-10-12,11876.259765625,251.2531626700957,251253.16267009568
2020-10-13,11863.900390625,250.99168876175594,250991.68876175594
2020-10-14,11768.73046875,248.97828181933033,248978.28181933032
2020-10-15,11713.8701171875,247.81766078987394,247817.66078987395
2020-10-16,11671.5595703125,246.92254238336898,246922.54238336897
2020-10-19,11478.8798828125,242.84622695898057,242846.22695898058
2020-10-20,11516.490234375,243.64190842483765,243641.90842483766
2020-10-21,11484.6904296875,242.96915440482613,242969.15440482614
2020-10-22,11506.009765625,243.42018450066715,243420.18450066715
2020-10-23,11548.2802734375,244.3144558440999,244314.45584409992
2020-10-26,11358.9404296875,240.30879787597902,240308.797875979
2020-10-27,11431.349609375,241.84068045196395,241840.68045196394
2020-10-28,11004.8701171875,232.8181158280243,232818.1158280243
2020-10-29,11185.58984375,236.6414073147202,236641.40731472019
2020-10-30,10911.58984375,230.84468613059212,230844.68613059213
2020-11-02,10957.6103515625,231.81829216176385,231818.29216176385
2020-11-03,11160.5703125,236.1120961949617,236112.09619496172
2020-11-04,11590.7802734375,245.21358230514164,245213.58230514164
2020-11-05,11890.9296875,251.5635183157246,251563.5183157246
2020-11-06,11895.23046875,251.6545052857252,251654.5052857252
2020-11-09,11713.7802734375,247.8157600629802,247815.76006298017
2020-11-10,11553.8603515625,244.43250751226148,244432.50751226148
2020-11-11,11786.4296875,249.35272501739837,249352.72501739836
2020-11-12,11709.58984375,247.72710768144685,247727.10768144685
2020-11-13,11829.2900390625,250.25947504609002,250259.47504609002
2020-11-16,11924.1298828125,252.26589888318864,252265.89888318864
2020-11-17,11899.33984375,251.74144288103918,251741.44288103917
2020-11-18,11801.599609375,249.67365862139243,249673.65862139245
2020-11-19,11904.7099609375,251.8550526330904,251855.05263309038
2020-11-20,11854.9697265625,250.80275237650258,250802.75237650258
2020-11-23,11880.6298828125,251.3456165054165,251345.6165054165
2020-11-24,12036.7900390625,254.6493277676469,254649.3277676469
2020-11-25,12094.400390625,255.86812756811187,255868.12756811187
2020-11-27,12205.849609375,258.2259379596544,258225.9379596544
2020-11-30,12198.740234375,258.0755326141492,258075.5326141492
2020-12-01,12355.1103515625,261.38368579249,261383.68579249
2020-12-02,12349.3701171875,261.26224587203956,261262.24587203955
2020-12-03,12377.1796875,261.85058282587886,261850.58282587887
2020-12-04,12464.23046875,263.6922219053196,263692.2219053196
2020-12-07,12519.9501953125,264.8710238007162,264871.0238007162
2020-12-08,12582.76953125,266.2000244408687,266200.0244408687
2020-12-09,12338.9501953125,261.04180287251484,261041.80287251485
2020-12-10,12405.8095703125,262.45627424266104,262456.274242661
2020-12-11,12377.8701171875,261.8651894988558,261865.1894988558
2020-12-14,12440.0400390625,263.1804511891784,263180.45118917845
2020-12-15,12595.0595703125,266.46003148388814,266460.03148388816
2020-12-16,12658.1904296875,267.79562268794393,267795.6226879439
2020-12-17,12764.75,270.0499880843018,270049.98808430176
2020-12-18,12755.6396484375,269.8572502452609,269857.2502452609
2020-12-21,12742.51953125,269.5796821385492,269579.68213854916
2020-12-22,12807.919921875,270.9632873567469,270963.2873567469
2020-12-23,12771.1103515625,270.18454715233406,270184.54715233407
2020-12-24,12804.73046875,270.8958115520189,270895.8115520189
2020-12-28,12899.419921875,272.899053737578,272899.05373757804
2020-12-29,12850.2197265625,271.8581785024276,271858.17850242765
2020-12-30,12870.0,272.27664832017575,272276.64832017577
2020-12-31,12888.2802734375,272.66338426282834,272663.38426282833
2021-01-04,12698.4501953125,268.6473549370916,268647.35493709164
2021-01-05,12818.9599609375,271.19684950385346,271196.8495038535
2021-01-06,12740.7900390625,269.5430931458445,269543.0931458445
2021-01-07,13067.48046875,276.45452867293005,276454.52867293
2021-01-08,13201.98046875,279.2999994731681,279299.9994731681
2021-01-11,13036.4296875,275.79762093039136,275797.62093039136
2021-01-12,13072.4296875,276.5592339326855,276559.2339326855
2021-01-13,13128.9501953125,277.7549770895264,277754.97708952636
2021-01-14,13112.6396484375,277.4099125180117,277409.9125180117
2021-01-15,12998.5,274.99518362003147,274995.18362003146
2021-01-19,13197.1796875,279.19843454480224,279198.43454480224
2021-01-20,13457.25,284.7004604200999,284700.4604200999
2021-01-21,13530.91015625,286.25880855207276,286258.8085520728
2021-01-22,13543.0595703125,286.5158405443021,286515.8405443021
2021-01-25,13635.990234375,288.48187393490855,288481.87393490854
2021-01-26,13626.0595703125,288.27178163292484,288271.78163292486
2021-01-27,13270.599609375,280.7517002983418,280751.7002983418
2021-01-28,13337.16015625,282.1598496855588,282159.8496855588
2021-01-29,13070.6904296875,276.5224383392316,276522.4383392316
2021-02-01,13403.3896484375,283.5609953073739,283560.9953073739
2021-02-02,13612.7802734375,287.99084593399914,287990.84593399917
2021-02-03,13610.5400390625,287.94345172210507,287943.4517221051
2021-02-04,13777.740234375,291.48072513144194,291480.72513144196
2021-02-05,13856.2998046875,293.1427248593488,293142.7248593488
2021-02-08,13987.6396484375,295.9213396571068,295921.3396571068
2021-02-09,14007.7001953125,296.3457389163605,296345.73891636054
2021-02-10,13972.5302734375,295.6016869777585,295601.6869777585
2021-02-11,14025.76953125,296.72801228282776,296728.01228282775
2021-02-12,14095.4697265625,298.20258381095124,298202.5838109512
2021-02-16,14047.5,297.18774027021516,297187.74027021514
2021-02-17,13965.490234375,295.4527484975735,295452.7484975735
2021-02-18,13865.3603515625,293.3344090345681,293334.4090345681
2021-02-19,13874.4599609375,293.52691961278475,293526.91961278475
2021-02-22,13533.0498046875,286.3040747762488,286304.0747762488
2021-02-23,13465.2001953125,284.86865409012154,284868.65409012156
2021-02-24,13597.9697265625,287.67751523758005,287677.51523758005
2021-02-25,13119.4296875,277.55356201901407,277553.5620190141
2021-02-26,13192.349609375,279.09624981418847,279096.24981418846
2021-03-01,13588.830078125,287.4841575962912,287484.1575962912
2021-03-02,13358.7900390625,282.6174496852283,282617.4496852283
2021-03-03,12997.75,274.97931668248367,274979.31668248365
2021-03-04,12723.4697265625,269.17666605685014,269176.6660568501
2021-03-05,12920.150390625,273.33762580823503,273337.625808235
2021-03-08,12609.16015625,266.7583423058317,266758.3423058317
2021-03-09,13073.8203125,276.58865387938874,276588.65387938876
2021-03-10,13068.830078125,276.4830808964861,276483.0808964861
2021-03-11,13398.669921875,283.4611451652274,283461.14516522735
2021-03-12,13319.8603515625,281.79385645813795,281793.856458138
2021-03-15,13459.7099609375,284.7525031488537,284752.50314885366
2021-03-16,13471.5703125,285.00341975890314,285003.41975890315
2021-03-17,13525.2001953125,286.1380090939452,286138.0090939452
2021-03-18,13116.169921875,277.48459868889097,277484.598688891
2021-03-19,13215.240234375,279.58052197059516,279580.5219705952
2021-03-22,13377.5400390625,283.0141231239231,283014.12312392314
2021-03-23,13227.7001953125,279.84412386665286,279844.12386665284
2021-03-24,12961.8896484375,274.22065807090473,274220.6580709047
2021-03-25,12977.6796875,274.5547108224807,274554.7108224807
2021-03-26,13138.73046875,277.9618877399706,277961.88773997064
2021-03-29,13059.650390625,276.2888761921251,276288.8761921251
2021-03-30,13045.3896484375,275.9871771178927,275987.1771178927
2021-03-31,13246.8701171875,280.2496811375685,280249.6811375685
2021-04-01,13480.1103515625,285.18409211418367,285184.09211418364
2021-04-05,13705.58984375,289.95431747531404,289954.317475314
2021-04-06,13698.3798828125,289.8017841420909,289801.78414209094
2021-04-07,13688.83984375,289.59995587007995,289599.9558700799
2021-04-08,13829.3095703125,292.5717217083775,292571.7217083775
2021-04-09,13900.1904296875,294.0712712670937,294071.2712670937
2021-04-12,13850.0,293.00944671596227,293009.44671596226
2021-04-13,13996.099609375,296.100317886243,296100.317886243
2021-04-14,13857.83984375,293.1753057975166,293175.3057975166
2021-04-15,14038.759765625,297.00283259957354,297002.83259957354
2021-04-16,14052.33984375,297.2901316015783,297290.1316015783
2021-04-19,13914.76953125,294.379705525754,294379.705525754
2021-04-20,13786.26953125,291.66117022589833,291661.1702258983
2021-04-21,13950.2197265625,295.12968690586143,295129.6869058614
2021-04-22,13818.41015625,292.3411346120611,292341.13461206114
2021-04-23,14016.8095703125,296.5384560953264,296538.4560953264
2021-04-26,14138.7802734375,299.11885813418655,299118.85813418654
2021-04-27,14090.2197265625,298.09151524811665,298091.51524811663
2021-04-28,14051.0302734375,297.2624264410944,297262.42644109443
