date,momentum_index,investment_value
2015-06-10,115.09456727957124,115094.56727957123
2015-06-11,114.89495933393687,114894.95933393687
2015-06-12,114.26281030757359,114262.81030757359
2015-06-15,113.54608868935033,113546.08868935033
2015-06-16,113.88957497259895,113889.57497259894
2015-06-17,113.61766479579225,113617.66479579225
2015-06-18,114.49244093930074,114492.44093930074
2015-06-19,113.34020514056942,113340.20514056942
2015-06-22,114.24003681339263,114240.03681339264
2015-06-23,114.35380671915163,114353.80671915163
2015-06-24,113.05858610780584,113058.58610780584
2015-06-25,113.35139609039182,113351.39609039182
2015-06-26,112.55550069763083,112555.50069763084
2015-06-29,109.87149453212119,109871.49453212119
2015-06-30,111.47883480561325,111478.83480561325
2015-07-01,111.47883480561325,111478.83480561325
2015-07-02,110.7282189191225,110728.2189191225
2015-07-06,110.96299017092689,110962.99017092689
2015-07-07,111.50819772457406,111508.19772457406
2015-07-08,109.68613161307685,109686.13161307685
2015-07-09,110.95667380157845,110956.67380157845
2015-07-10,112.94370603457737,112943.70603457738
2015-07-13,114.58197871169095,114581.97871169096
2015-07-14,115.47717649566276,115477.17649566276
2015-07-15,114.49897442635648,114498.97442635648
2015-07-16,116.52136552066487,116521.36552066487
2015-07-17,118.10135019788606,118101.35019788606
2015-07-20,119.32135587270629,119321.35587270629
2015-07-21,119.09561010910825,119095.61010910825
2015-07-22,119.01298309082651,119012.98309082651
2015-07-23,118.90563229788783,118905.63229788783
2015-07-24,116.72544969089178,116725.44969089178
2015-07-27,114.72736531344725,114727.36531344726
2015-07-28,116.34259411628227,116342.59411628227
2015-07-29,117.62750984639723,117627.50984639722
2015-07-30,117.77441143407285,117774.41143407284
2015-07-31,120.07046845063324,120070.46845063324
2015-08-03,119.37471387884634,119374.71387884633
2015-08-04,122.69882558482145,122698.82558482145
2015-08-05,125.96234238458689,125962.3423845869
2015-08-06,124.09109504015976,124091.09504015975
2015-08-07,122.35901737540158,122359.01737540159
2015-08-10,123.78739139191536,123787.39139191536
2015-08-11,120.9628575842623,120962.8575842623
2015-08-12,119.89116399194361,119891.16399194361
2015-08-13,120.09447189718118,120094.47189718118
2015-08-14,120.92776618614825,120927.76618614825
2015-08-17,122.41166981114425,122411.66981114425
2015-08-18,119.83862885354604,119838.62885354605
2015-08-19,119.35754784666682,119357.54784666681
2015-08-20,115.04163137534564,115041.63137534565
2015-08-21,110.43768255172569,110437.68255172568
2015-08-24,106.44085499969214,106440.85499969214
2015-08-25,107.77204179734387,107772.04179734387
2015-08-26,111.35031978442834,111350.31978442834
2015-08-27,115.04110847457609,115041.10847457609
2015-08-28,114.80405257470973,114804.05257470973
2015-08-31,112.8015294227111,112801.5294227111
2015-09-01,109.81171441232254,109811.71441232254
2015-09-02,112.06264810217077,112062.64810217077
2015-09-03,112.03608539682162,112036.08539682163
2015-09-04,110.89399171459658,110893.99171459657
2015-09-08,114.0103220308616,114010.3220308616
2015-09-09,113.4273468590503,113427.3468590503
2015-09-10,114.35323942472057,114353.23942472057
2015-09-11,115.73179493014561,115731.79493014561
2015-09-14,113.79455471576854,113794.55471576854
2015-09-15,115.97559469790941,115975.59469790942
2015-09-16,118.25618105654382,118256.18105654382
2015-09-17,118.58723859711364,118587.23859711364
2015-09-18,117.89356084490404,117893.56084490404
2015-09-21,118.19153636574723,118191.53636574722
2015-09-22,116.90006311117888,116900.06311117888
2015-09-23,115.68800929251734,115688.00929251734
2015-09-24,115.8657646545771,115865.7646545771
2015-09-25,113.98896634520818,113988.96634520819
2015-09-28,109.9803234015229,109980.3234015229
2015-09-29,109.89144785095691,109891.4478509569
2015-09-30,110.86203146218439,110862.03146218439
2015-10-01,112.18757389813598,112187.57389813598
2015-10-02,114.87402805425124,114874.02805425123
2015-10-05,116.70944608709102,116709.44608709103
2015-10-06,116.26799260284692,116267.99260284692
2015-10-07,117.75909701076168,117759.09701076167
2015-10-08,117.9615600180819,117961.5600180819
2015-10-09,119.14955873142267,119149.55873142267
2015-10-12,120.6753238111216,120675.3238111216
2015-10-13,120.38274584971728,120382.74584971728
2015-10-14,118.34396693163974,118343.96693163975
2015-10-15,120.63538938167054,120635.38938167054
2015-10-16,122.22362710154964,122223.62710154963
2015-10-19,124.35980382103374,124359.80382103374
2015-10-20,124.59361307646685,124593.61307646685
