Period Start,Period End,Stock,Weight (%)
2019-01-01,2019-06-30,SMAR,1.9682087537746924
2019-01-01,2019-06-30,ETSY,1.5985445188214227
2019-01-01,2019-06-30,W,1.4611115859824024
2019-01-01,2019-06-30,CARG,0.9950458613888562
2019-01-01,2019-06-30,BKE,0.5952336714144204
2019-01-01,2019-06-30,TRIP,0.5916777957029049
2019-01-01,2019-06-30,RVLV,0.5411645908634702
2019-01-01,2019-06-30,UPWK,0.5014833785645394
2019-01-01,2019-06-30,FVRR,0.26292281334172063
2019-01-01,2019-06-30,REAL,0.2479567504195973
2019-01-01,2019-06-30,RDFN,0.2463052254303448
2019-01-01,2019-06-30,FLWS,0.12152443761952508
2019-01-01,2019-06-30,GRPN,0.10291417408980978
2019-01-01,2019-06-30,EB,0.07597449126338174
2019-01-01,2019-06-30,TRUE,0.0720897254093909
2019-01-01,2019-06-30,AEYE,0.05696727555911466
2019-01-01,2019-06-30,TRVG,0.049272414118195856
2019-01-01,2019-06-30,PETS,0.024563490583030197
2019-01-01,2019-06-30,PRTS,0.015816573436020977
2019-01-01,2019-06-30,LITB,0.0050350697626136
2019-07-01,2019-12-31,INTU,55.26526323589174
2019-07-01,2019-12-31,TCOM,15.929027208714249
2019-07-01,2019-12-31,PINS,7.395112509884719
2019-07-01,2019-12-31,CHWY,5.1861934223407795
2019-07-01,2019-12-31,MMYT,4.239651467758333
2019-07-01,2019-12-31,BILL,3.2878711946827246
2019-07-01,2019-12-31,ETSY,2.138068127738558
2019-07-01,2019-12-31,W,1.9542503047470614
2019-07-01,2019-12-31,BOX,1.6058566054883106
2019-07-01,2019-12-31,BKE,0.7961305590327125
2019-07-01,2019-12-31,RVLV,0.7238126620576897
2019-07-01,2019-12-31,SPT,0.6546084157303216
2019-07-01,2019-12-31,REAL,0.3316444546196523
2019-07-01,2019-12-31,FLWS,0.16254006301133556
2019-07-01,2019-12-31,LOVE,0.1286760754561248
2019-07-01,2019-12-31,AEYE,0.076194259692463
2019-07-01,2019-12-31,NEGG,0.05607339414054621
2019-07-01,2019-12-31,CHGG,0.05140331241535443
2019-07-01,2019-12-31,FPAY,0.010888274066517115
2019-07-01,2019-12-31,LITB,0.006734452530806811
2020-01-01,2020-06-30,HUBS,28.714222863779387
2020-01-01,2020-06-30,CVNA,21.333124762708447
2020-01-01,2020-06-30,DOCU,13.768080263154229
2020-01-01,2020-06-30,CHWY,11.444358427167368
2020-01-01,2020-06-30,WIX,9.053567642875151
2020-01-01,2020-06-30,ETSY,4.718068919322866
2020-01-01,2020-06-30,W,4.3124386467313744
2020-01-01,2020-06-30,BKE,1.7568190636976209
2020-01-01,2020-06-30,UPWK,1.4801171403764273
2020-01-01,2020-06-30,CARS,0.8476846768999612
2020-01-01,2020-06-30,FVRR,0.7760108894077522
2020-01-01,2020-06-30,RDFN,0.7269644448979785
2020-01-01,2020-06-30,FLWS,0.3586766995351496
2020-01-01,2020-06-30,LOVE,0.2839491335162089
2020-01-01,2020-06-30,AEYE,0.16813765839447703
2020-01-01,2020-06-30,NEGG,0.12373700101655605
2020-01-01,2020-06-30,PETS,0.07249860113706427
2020-01-01,2020-06-30,PRTS,0.0466822679381472
2020-01-01,2020-06-30,LITB,0.014860897443834913
2020-07-01,2020-12-31,CHWY,28.60689249192819
2020-07-01,2020-12-31,MMYT,23.385794524930613
2020-07-01,2020-12-31,BILL,18.135802145062357
2020-07-01,2020-12-31,ETSY,11.793521777872503
2020-07-01,2020-12-31,BOX,8.857858457952103
2020-07-01,2020-12-31,BKE,4.391433071832504
2020-07-01,2020-12-31,OPEN,1.773046880859126
2020-07-01,2020-12-31,FLWS,0.8965662730908801
2020-07-01,2020-12-31,GRPN,0.7592660317491734
2020-07-01,2020-12-31,LOVE,0.7097734999623634
2020-07-01,2020-12-31,NEGG,0.30929921566868984
2020-07-01,2020-12-31,CHGG,0.28353918032839953
2020-07-01,2020-12-31,FPAY,0.060059403936176176
2020-07-01,2020-12-31,LITB,0.03714704482692262
2021-01-01,2021-06-30,BKNG,35.47560372298282
2021-01-01,2021-06-30,ABNB,18.45477500444714
2021-01-01,2021-06-30,TCOM,10.852159845458607
2021-01-01,2021-06-30,HUBS,8.865051311983907
2021-01-01,2021-06-30,CVNA,6.586256802545167
2021-01-01,2021-06-30,EXPE,4.94513263913873
2021-01-01,2021-06-30,DOCU,4.250671821396813
2021-01-01,2021-06-30,MNDY,2.7930333759913597
2021-01-01,2021-06-30,SMAR,1.7934731975790836
2021-01-01,2021-06-30,BOX,1.0940412332343157
2021-01-01,2021-06-30,SEMR,0.5793988675392134
2021-01-01,2021-06-30,BKE,0.5423894360448325
2021-01-01,2021-06-30,TRIP,0.5391492473350248
2021-01-01,2021-06-30,RVLV,0.4931205530567356
2021-01-01,2021-06-30,SPT,0.4459729442738067
2021-01-01,2021-06-30,XMTR,0.3918444460736377
2021-01-01,2021-06-30,COUR,0.2802803305141956
2021-01-01,2021-06-30,CARS,0.2617089166142788
2021-01-01,2021-06-30,REAL,0.22594340421639073
2021-01-01,2021-06-30,RDFN,0.2244384999232481
2021-01-01,2021-06-30,OPEN,0.21899044846172044
2021-01-01,2021-06-30,ZIP,0.15004950138690115
2021-01-01,2021-06-30,RXT,0.13603057759614534
2021-01-01,2021-06-30,EB,0.06922955378552255
2021-01-01,2021-06-30,TRUE,0.06568967346305117
2021-01-01,2021-06-30,AEYE,0.051909779213424746
2021-01-01,2021-06-30,TZOO,0.05108005216091395
2021-01-01,2021-06-30,TRVG,0.04489805968575495
2021-01-01,2021-06-30,NEGG,0.03820179527081914
2021-01-01,2021-06-30,DIBS,0.032262483748502796
2021-01-01,2021-06-30,PETS,0.022382769061037252
2021-01-01,2021-06-30,GROV,0.012823659029415223
2021-01-01,2021-06-30,FPAY,0.00741798535860138
2021-01-01,2021-06-30,LITB,0.004588061428885452
2021-07-01,2021-12-31,WDAY,24.215139062490742
2021-07-01,2021-12-31,CPRT,19.676114400181753
2021-07-01,2021-12-31,HUBS,13.825698598868
2021-07-01,2021-12-31,DOCU,6.629234888453434
2021-07-01,2021-12-31,DUOL,5.6463066916879185
2021-07-01,2021-12-31,CHWY,5.510378986123297
2021-07-01,2021-12-31,MMYT,4.504669312136428
2021-07-01,2021-12-31,WIX,4.359229851654792
2021-07-01,2021-12-31,SMAR,2.797053170054055
2021-07-01,2021-12-31,ETSY,2.271717370053842
2021-07-01,2021-12-31,W,2.076409214996621
2021-07-01,2021-12-31,BOX,1.7062376531294412
2021-07-01,2021-12-31,DOCN,1.2832607261341218
2021-07-01,2021-12-31,BKE,0.8458961603334099
2021-07-01,2021-12-31,RVLV,0.769057718848531
2021-07-01,2021-12-31,GDRX,0.6465692390097602
2021-07-01,2021-12-31,COUR,0.437117760124185
2021-07-01,2021-12-31,WEAV,0.41373620546803186
2021-07-01,2021-12-31,UDMY,0.3788811304073137
2021-07-01,2021-12-31,FVRR,0.373643846023243
2021-07-01,2021-12-31,NRDS,0.3723239790791665
2021-07-01,2021-12-31,REAL,0.3523753328844454
2021-07-01,2021-12-31,CURV,0.25276451655270543
2021-07-01,2021-12-31,TREE,0.21055732681547432
2021-07-01,2021-12-31,FLWS,0.17270033619698022
2021-07-01,2021-12-31,LOVE,0.13671953289590494
2021-07-01,2021-12-31,CHGG,0.05461649990347924
2021-07-01,2021-12-31,DIBS,0.050315712866173465
2021-07-01,2021-12-31,LVLU,0.01255046489904344
2021-07-01,2021-12-31,FPAY,0.011568892967398608
2021-07-01,2021-12-31,LITB,0.007155418760307911
2022-01-01,2022-06-30,BKNG,34.08986889490253
2022-01-01,2022-06-30,ABNB,17.73390145236492
2022-01-01,2022-06-30,TCOM,10.428256816910457
2022-01-01,2022-06-30,HUBS,8.518767977339023
2022-01-01,2022-06-30,PINS,4.8413585734122115
2022-01-01,2022-06-30,EXPE,4.751967708640544
2022-01-01,2022-06-30,DOCU,4.084633660872627
2022-01-01,2022-06-30,DUOL,3.4789979176404375
2022-01-01,2022-06-30,MMYT,2.775572779220832
2022-01-01,2022-06-30,MNDY,2.683932945866912
2022-01-01,2022-06-30,SMAR,1.7234172150926244
2022-01-01,2022-06-30,DOCN,0.7906870168038551
2022-01-01,2022-06-30,SEMR,0.5567666046362649
2022-01-01,2022-06-30,TRIP,0.5180892001149856
2022-01-01,2022-06-30,UPWK,0.4391125108266204
2022-01-01,2022-06-30,SPT,0.4285525151223401
2022-01-01,2022-06-30,XMTR,0.3765383641714348
2022-01-01,2022-06-30,COUR,0.26933212456815403
2022-01-01,2022-06-30,TTGT,0.2681471469285622
2022-01-01,2022-06-30,RDFN,0.21567156677859095
2022-01-01,2022-06-30,OPEN,0.21043632507540777
2022-01-01,2022-06-30,CURV,0.15574202301741677
2022-01-01,2022-06-30,RXT,0.13071700180668708
2022-01-01,2022-06-30,FLWS,0.10641010891058879
2022-01-01,2022-06-30,GRPN,0.09011445506644715
2022-01-01,2022-06-30,BARK,0.07166953644881886
2022-01-01,2022-06-30,EB,0.06652533472382112
2022-01-01,2022-06-30,AEYE,0.049882098739381146
2022-01-01,2022-06-30,TZOO,0.04908478217615878
2022-01-01,2022-06-30,TRVG,0.04314426839003498
2022-01-01,2022-06-30,PETS,0.021508461667174263
2022-01-01,2022-06-30,GROV,0.012322746033564654
2022-01-01,2022-06-30,LVLU,0.007733026849828947
2022-01-01,2022-06-30,RENT,0.006727994599653309
2022-01-01,2022-06-30,LITB,0.0044088442810949705
2022-07-01,2022-12-31,PINS,23.02725554452567
2022-07-01,2022-12-31,DUOL,16.54737464155973
2022-07-01,2022-12-31,CHWY,16.149017486880798
2022-07-01,2022-12-31,MMYT,13.201629811216536
2022-07-01,2022-12-31,MNDY,12.76575755992589
2022-07-01,2022-12-31,ETSY,6.657618945382186
2022-07-01,2022-12-31,BOX,5.00039321552125
2022-07-01,2022-12-31,BKE,2.47902946779347
2022-07-01,2022-12-31,RVLV,2.253842536308571
2022-07-01,2022-12-31,RXT,0.6217374232818511
2022-07-01,2022-12-31,FLWS,0.5061250335518797
2022-07-01,2022-12-31,LOVE,0.40067772708451255
2022-07-01,2022-12-31,NEGG,0.17460402047938475
2022-07-01,2022-12-31,CHGG,0.1600620963158149
2022-07-01,2022-12-31,FPAY,0.03390442931508959
2022-07-01,2022-12-31,LITB,0.020970060857368012
2023-01-01,2023-06-30,BKNG,47.17657993781717
2023-01-01,2023-06-30,ABNB,24.541743532547475
2023-01-01,2023-06-30,TCOM,14.43154542048202
2023-01-01,2023-06-30,DOCU,5.652677838478594
2023-01-01,2023-06-30,MNDY,3.714264128113583
2023-01-01,2023-06-30,W,1.7705319770261414
2023-01-01,2023-06-30,SEMR,0.7705029406627438
2023-01-01,2023-06-30,BKE,0.7212866280389588
2023-01-01,2023-06-30,RDFN,0.29846541627403816
2023-01-01,2023-06-30,CURV,0.2155296056200785
2023-01-01,2023-06-30,TREE,0.17953998538989718
2023-01-01,2023-06-30,GRPN,0.12470836441470663
2023-01-01,2023-06-30,BARK,0.09918265235363181
2023-01-01,2023-06-30,EB,0.09206365038140946
2023-01-01,2023-06-30,TDUP,0.07498473559562005
2023-01-01,2023-06-30,TRVG,0.059706859913018835
2023-01-01,2023-06-30,PETS,0.02976531427296427
2023-01-01,2023-06-30,PRTS,0.019166057749537724
2023-01-01,2023-06-30,GROV,0.01705330739458523
2023-01-01,2023-06-30,LVLU,0.010701647473827427
2023-07-01,2023-12-31,INTU,67.30128694095072
2023-07-01,2023-12-31,PINS,9.005667572123977
2023-07-01,2023-12-31,DUOL,6.471468339991045
2023-07-01,2023-12-31,CHWY,6.315675909448077
2023-07-01,2023-12-31,BILL,4.0039248841308455
2023-07-01,2023-12-31,ETSY,2.6037103261417607
2023-07-01,2023-12-31,BOX,1.9555903629859188
2023-07-01,2023-12-31,BKE,0.9695169815299538
2023-07-01,2023-12-31,GDRX,0.7410600571916358
2023-07-01,2023-12-31,FLWS,0.19793908107220826
2023-07-01,2023-12-31,LOVE,0.15669997697728955
2023-07-01,2023-12-31,BARK,0.13331630171970138
2023-07-01,2023-12-31,NEGG,0.06828541778038692
2023-07-01,2023-12-31,CHGG,0.06259825568575855
2023-07-01,2023-12-31,FPAY,0.01325959227072804
2024-01-01,2024-06-30,BKNG,45.372976809048474
2024-01-01,2024-06-30,ABNB,23.60349057993656
2024-01-01,2024-06-30,TCOM,13.879814444907757
2024-01-01,2024-06-30,CVNA,8.423762975081315
2024-01-01,2024-06-30,DOCU,5.436570875048018
2024-01-01,2024-06-30,BKE,0.6937111908032624
2024-01-01,2024-06-30,TRIP,0.6895670187030482
2024-01-01,2024-06-30,UPWK,0.5844505249264397
2024-01-01,2024-06-30,RDFN,0.28705481467191585
2024-01-01,2024-06-30,CURV,0.20728971473457902
2024-01-01,2024-06-30,TREE,0.172676010090816
2024-01-01,2024-06-30,GRPN,0.11994065135584435
2024-01-01,2024-06-30,BARK,0.0953908102501903
2024-01-01,2024-06-30,EB,0.08854397413330836
2024-01-01,2024-06-30,TRUE,0.08401649916677954
2024-01-01,2024-06-30,TDUP,0.07211800163761768
2024-01-01,2024-06-30,AEYE,0.0663921388570385
2024-01-01,2024-06-30,TRVG,0.057424212898546476
2024-01-01,2024-06-30,PETS,0.028627359507649296
2024-01-01,2024-06-30,GROV,0.016401344098109113
2024-01-01,2024-06-30,LVLU,0.010292513855150195
2024-01-01,2024-06-30,FPAY,0.009487536287582083
2024-07-01,2024-12-31,INTU,46.349965135926055
