date,adjusted,normalized
2015-02-06,4744.39990234375,100.37212926967565
2015-02-09,4726.009765625,99.9830690685932
2015-02-10,4787.64013671875,101.28691606751588
2015-02-11,4801.18017578125,101.57336800644843
2015-02-12,4857.60986328125,102.7671897763206
2015-02-13,4893.83984375,103.53366822626128
2015-02-17,4899.27001953125,103.64854857292083
2015-02-18,4906.35986328125,103.79854071692733
2015-02-19,4924.7001953125,104.18654725418823
2015-02-20,4955.97021484375,104.84809318354917
2015-02-23,4960.97021484375,104.95387276720113
2015-02-24,4968.1201171875,105.10513550581597
2015-02-25,4967.14013671875,105.08440312062169
2015-02-26,4987.89013671875,105.52338839277735
2015-02-27,4963.52978515625,105.00802282359798
2015-03-02,5008.10009765625,105.95094864349564
2015-03-03,4979.89990234375,105.35434765968353
2015-03-04,4967.14013671875,105.08440312062169
2015-03-05,4982.81005859375,105.41591468298097
2015-03-06,4927.3701171875,104.2430318990524
2015-03-09,4942.43994140625,104.56184784536595
2015-03-10,4859.7900390625,102.81331339360635
2015-03-11,4849.93994140625,102.60492554780447
2015-03-12,4893.2900390625,103.52203660407456
2015-03-13,4871.759765625,103.06654393204819
2015-03-16,4929.509765625,104.28829812322846
2015-03-17,4937.43017578125,104.45586166096466
2015-03-18,4982.830078125,105.41633821451708
2015-03-19,4992.3798828125,105.61837308727735
2015-03-20,5026.419921875,106.33852131918297
2015-03-23,5010.97021484375,106.01166860372086
2015-03-24,4994.72998046875,105.66809155760126
2015-03-25,4876.52001953125,103.16725146730434
2015-03-26,4863.35986328125,102.88883629752037
2015-03-27,4891.22021484375,103.47824757525612
2015-03-30,4947.43994140625,104.66762742901791
2015-03-31,4900.8798828125,103.68260670644626
2015-04-01,4880.22998046875,103.24573909197112
2015-04-02,4886.93994140625,103.38769446682907
2015-04-06,4917.31982421875,104.03040873788945
2015-04-07,4910.22998046875,103.88041659388294
2015-04-08,4950.81982421875,104.73913194835767
2015-04-09,4974.56005859375,105.24137836995521
2015-04-10,4995.97998046875,105.69453645351426
2015-04-13,4988.25,105.53100163038982
2015-04-14,4977.2900390625,105.29913360942768
2015-04-15,5011.02001953125,106.01272226754239
2015-04-16,5007.7900390625,105.94438906970471
2015-04-17,4931.81005859375,104.33696292973084
2015-04-20,4994.60009765625,105.6653437676353
2015-04-21,5014.10009765625,106.077884143878
2015-04-22,5035.169921875,106.52363559057392
2015-04-23,5056.06005859375,106.96558558348235
2015-04-24,5092.080078125,107.72762211731266
2015-04-27,5060.25,107.0542276349782
2015-04-28,5055.419921875,106.95204290436442
2015-04-29,5023.64013671875,106.27971241588897
2015-04-30,4941.419921875,104.54026839709944
2015-05-01,5005.39013671875,105.89361693555925
2015-05-04,5016.93017578125,106.13775704103101
