date,momentum_index
2015-01-02,100.0
2015-01-05,98.51749067551164
2015-01-06,97.01011854815053
2015-01-07,97.26585209897284
2015-01-08,99.00318426921693
2015-01-09,97.4310255787824
2015-01-12,96.57905425319365
2015-01-13,96.1961355370648
2015-01-14,95.6542279921315
2015-01-15,93.6355071183062
2015-01-16,94.6511786639569
2015-01-20,95.52677411998886
2015-01-21,96.46501404779913
2015-01-22,98.18862031666507
2015-01-23,98.39381955453709
2015-01-26,98.36179344422834
2015-01-27,97.18085914496655
2015-01-28,96.17542886112716
2015-01-29,96.65383025021437
2015-01-30,95.68639515790268
2015-02-02,96.58914996980616
2015-02-03,99.06010048748351
2015-02-04,98.84028970779136
2015-02-05,100.26697207934963
2015-02-06,97.7183143595846
2015-02-09,97.36809454055458
2015-02-10,98.45910492367076
2015-02-11,98.75114537215758
2015-02-12,101.32948604130416
2015-02-13,103.11767451881211
2015-02-17,103.19290172961391
2015-02-18,103.02472466674301
2015-02-19,105.77834141384466
2015-02-20,108.35435070629187
2015-02-23,107.57414406633117
2015-02-24,108.0129699981183
2015-02-25,109.18661145996506
2015-02-26,107.90490442703167
2015-02-27,106.9775492081481
2015-03-02,108.30318624239574
2015-03-03,107.67472800637378
2015-03-04,106.08876396431421
2015-03-05,106.67278356044191
2015-03-06,105.77319222031858
2015-03-09,105.99436614607
2015-03-10,103.94395399257648
2015-03-11,103.7547662432357
2015-03-12,105.03521007455439
2015-03-13,104.19585577820791
2015-03-16,104.92537111197542
2015-03-17,104.67841508163099
2015-03-18,107.06198865538343
2015-03-19,107.19714069836105
2015-03-20,109.33196791887706
2015-03-23,109.39195878905011
2015-03-24,108.9562004587944
2015-03-25,106.68421990216335
2015-03-26,106.23203221575663
2015-03-27,106.68052615948152
2015-03-30,107.93106297030215
2015-03-31,107.51335087389573
2015-04-01,107.15828972171441
2015-04-02,108.24606157774055
2015-04-06,109.44726184032088
2015-04-07,109.11771317534541
2015-04-08,110.0933621250634
2015-04-09,109.61216440089947
2015-04-10,110.36954955744108
2015-04-13,110.01340587420954
2015-04-14,110.13440021270348
2015-04-15,110.48252793639652
2015-04-16,110.54025512092119
2015-04-17,108.27984159068411
2015-04-20,109.27410994805724
2015-04-21,109.99107569175976
2015-04-22,111.58886233460179
2015-04-23,112.2558848607776
2015-04-24,112.34693799515955
2015-04-27,112.72352941694972
2015-04-28,112.06090259555961
2015-04-29,112.26870211012545
2015-04-30,111.21663037127554
2015-05-01,112.03717577018459
2015-05-04,112.8775154753086
2015-05-05,111.7150489664232
2015-05-06,111.96984829651888
2015-05-07,112.69674392471913
2015-05-08,113.23665418790017
2015-05-11,112.63951677490658
2015-05-12,112.92315015160597
2015-05-13,112.94519821851763
2015-05-14,114.53017360485251
2015-05-15,113.99636958114718
2015-05-18,114.9385519630938
2015-05-19,115.35658152114341
2015-05-20,115.43216694568976
2015-05-21,116.2772514719159
2015-05-22,118.92191655728539
2015-05-26,117.32308003466387
2015-05-27,116.11864405115546
2015-05-28,114.8455887971083
2015-05-29,113.6484382808597
2015-06-01,114.16073459381731
2015-06-02,114.36128533876723
2015-06-03,114.60482646662027
2015-06-04,113.84250808603029
2015-06-05,114.33455856518788
2015-06-08,113.07904179104366
2015-06-09,113.17643439366833
2015-06-10,115.09456727957124
2015-06-11,114.89495933393687
2015-06-12,114.26281030757359
2015-06-15,113.54608868935033
2015-06-16,113.88957497259895
2015-06-17,113.61766479579225
2015-06-18,114.49244093930074
2015-06-19,113.34020514056942
2015-06-22,114.24003681339263
2015-06-23,114.35380671915163
2015-06-24,113.05858610780584
2015-06-25,113.35139609039182
2015-06-26,112.55550069763083
2015-06-29,109.87149453212119
2015-06-30,111.47883480561325
2015-07-01,111.47883480561325
2015-07-02,110.7282189191225
2015-07-06,110.96299017092689
2015-07-07,111.50819772457406
2015-07-08,109.68613161307685
2015-07-09,110.95667380157845
2015-07-10,112.94370603457737
2015-07-13,114.58197871169095
2015-07-14,115.47717649566276
2015-07-15,114.49897442635648
2015-07-16,116.52136552066487
2015-07-17,118.10135019788606
2015-07-20,119.32135587270629
2015-07-21,119.09561010910825
2015-07-22,119.01298309082651
2015-07-23,118.90563229788783
2015-07-24,116.72544969089178
2015-07-27,114.72736531344725
2015-07-28,116.34259411628227
2015-07-29,117.62750984639723
2015-07-30,117.77441143407285
2015-07-31,120.07046845063324
2015-08-03,119.37471387884634
2015-08-04,122.69882558482145
2015-08-05,125.96234238458689
2015-08-06,124.09109504015976
2015-08-07,122.35901737540158
2015-08-10,123.78739139191536
2015-08-11,120.9628575842623
2015-08-12,119.89116399194361
2015-08-13,120.09447189718118
2015-08-14,120.92776618614825
2015-08-17,122.41166981114425
2015-08-18,119.83862885354604
2015-08-19,119.35754784666682
2015-08-20,115.04163137534564
2015-08-21,110.43768255172569
2015-08-24,106.44085499969214
2015-08-25,107.77204179734387
2015-08-26,111.35031978442834
2015-08-27,115.04110847457609
2015-08-28,114.80405257470973
2015-08-31,112.8015294227111
2015-09-01,109.81171441232254
2015-09-02,112.06264810217077
2015-09-03,112.03608539682162
2015-09-04,110.89399171459658
2015-09-08,114.0103220308616
2015-09-09,113.4273468590503
2015-09-10,114.35323942472057
2015-09-11,115.73179493014561
2015-09-14,113.79455471576854
2015-09-15,115.97559469790941
2015-09-16,118.25618105654382
2015-09-17,118.58723859711364
2015-09-18,117.89356084490404
2015-09-21,118.19153636574723
2015-09-22,116.90006311117888
2015-09-23,115.68800929251734
2015-09-24,115.8657646545771
2015-09-25,113.98896634520818
2015-09-28,109.9803234015229
